"id","body","created_at",""
"128841923","$OLED Samsung&#39;s foldable OLED panel goes into production this summer. https://m.gsmarena.com/samsungs_foldable_oled_panel_goes_into_production_this_summer-news-31966.php $SSNLF","2018-06-30T10:15:22Z","SSNLF"
"128841871","$OLED 2018 iPhones might use LG&#39;s OLED displays. Apple may cheat on Samsung with LG. https://www.cnet.com/news/2018-iphones-could-use-lgs-oled-displays-and-ios-12-beta-download/ $AAPL $LPL $SSNLF","2018-06-30T10:10:18Z","SSNLF"
"128818181","@knvbish 
Samsung $SSNLF and Vuzix sitting in a tree..","2018-06-29T22:35:59Z","SSNLF"
"128751481","$AMD @jcobjcob here&#39;s some food for thought on process density $TSM $NVDA $SMH $INTC $SSNLF","2018-06-29T15:27:58Z","SSNLF"
"128751318","$VUZI will get acquired. The question is who, when &amp; what price $AAPL $AMZN $MSFT $SSNLF $SNAP $INTC or some big player will move in soon","2018-06-29T15:27:15Z","SSNLF"
"128712489","$OLED Samsung&#39;s OLED iPhone display supply dominance challenged. https://iphone.appleinsider.com/articles/18/06/28/samsungs-oled-iphone-display-supply-dominance-challenged $AAPL $SSNLF $LPL","2018-06-29T12:26:12Z","SSNLF"
"128677075","$SSNLF When are they going to fix that down 97% ?","2018-06-29T00:09:25Z","SSNLF"
"128592784","$HPE needs to have more followers on here... Cloud computing ffs! $AMD $NVDA $MU $INTC $AMAT $IQ $TSLA $SNAP $HPQ $MSFT $SQ $SSNLF $ORCL","2018-06-28T15:43:08Z","SSNLF"
"128522290","@aric_endre I think 5m subs will be sooner considering all the marketing &amp; deals like $SSNLF going on for $HMNY, plus so much PR from stock","2018-06-28T02:41:09Z","SSNLF"
"128515274","$AAPL $SSNLF settle 7yr long patent dispute","2018-06-28T01:03:17Z","SSNLF"
"128413224","$BB announces multi-year strategic relationship with $SSNLF https://bit.ly/2KmWJdh","2018-06-27T15:11:39Z","SSNLF"
"128397407","$INTC Maybe premature but it&#39;s pretty clear that these guys are circling the carcass $TSM $SSNLF $SFTBY $AMD $NVDA $ARMH $QCOM $NXPI","2018-06-27T14:09:25Z","SSNLF"
"128386384","$BB $BB.CA $SSNLF  
 BlackBerry and Samsung Collaborate on Enhanced Digital Transformation Solutions 
http://festyy.com/wJkYWv","2018-06-27T13:23:13Z","SSNLF"
"128376409","Why Micron Stock Bounced Back Yesterday $MU $NVDA $AMD $SSNLF https://marketrealist.com/2018/06/micron-stock-bounced-back-on-june-26","2018-06-27T12:19:27Z","SSNLF"
"128360000","$OLED LG Display To Start OLED Production at New China Factory. https://www.bloomberg.com/news/videos/2018-06-26/lg-display-to-start-oled-production-at-new-china-factory-video&amp;ct=ga&amp;cd=CAEYBCoTNjU4NTQxNTk5NDMxNjU3NDg0MzIaN2FiOGY1Yjc1NTM1YzllYzpjb206ZW46VVM&amp;usg=AFQjCNEDhUhKalFqp0LiJS77MNSrTKd-2A $LPL $AAPL $SSNLF","2018-06-27T05:08:16Z","SSNLF"
"128353772","@coolcats1001 well it&#39;s also dependent on sub growth, which as we see some more deals ($SSNLF etc) could speed up quick","2018-06-27T02:55:43Z","SSNLF"
"128350093","$HMNY so who are the major companies invested in moviepass besides $VZ $SSNLF ? This company needs someone to buy them already...","2018-06-27T02:05:30Z","SSNLF"
"128303386","UBS Ups Micron, Lam Research Ratings As Trends Improve $LRCX $MU Also $KLAC $SSNLF https://goo.gl/P6mra4","2018-06-26T19:19:16Z","SSNLF"
"128189918","$COHR all things considered this held up well today. 

https://thefly.com/landingPageNews.php?id=2750244&amp;headline=LPL-LG-Display-near-opening-China-OLED-plant-Bloomberg-reports

$LPL $SSNLF $AAPL","2018-06-25T23:23:29Z","SSNLF"
"128141243","$VUZI Of these 6 who would be the likely buyer of VUZIX?  
In order, your opinion of course 
$AMZN $SSNLF $FB $MSFT $SNAP $AAPL","2018-06-25T17:29:21Z","SSNLF"
"127932986","$HMNY MoviePass Bachelor TV series coming in 2025. Rich mofos who lived a past life of love, loss, tears in early 2018. Sponsored by $SSNLF","2018-06-22T19:01:01Z","SSNLF"
"127853988","@Retailious bought all $HMNY I could in pre-market, with the $SSNLF news on top of everything else, the rocket is fueled up and ready now","2018-06-22T12:37:08Z","SSNLF"
"127844416","$SSNLF when Samsung did this with $NFLX  last year Netflix pumped since. $hmny it¡¯s your turn. <f0><U+009F><U+008C><U+009D> https://9to5toys.com/2018/06/21/samsung-galaxy-s9-plus-moviepass-bundle/","2018-06-22T10:45:37Z","SSNLF"
"127844333","$HMNY partner with $SSNLF to the moon <f0><U+009F><U+008C><U+009D> https://9to5toys.com/2018/06/21/samsung-galaxy-s9-plus-moviepass-bundle/","2018-06-22T10:43:24Z","SSNLF"
"127841987","$HMNY heading back to the good ol days of this stock thanks $SSNLF for believing in MP Christmas in December should be great for longs","2018-06-22T09:46:54Z","SSNLF"
"127841534","$HMNY $AMC $SSNLF how did they pull off a Samsung partnership? Nice one!","2018-06-22T09:37:59Z","SSNLF"
"127840759","$HMNY + $SSNLF Samsung = Millions of more subscribers  <f0><U+009F><U+0092><U+00B8><f0><U+009F><U+0092><U+00B8><f0><U+009F><U+0092><U+00B8>","2018-06-22T09:23:35Z","SSNLF"
"127832362","$HMNY $AMC $SSNLF $VZ <U+2014> well-played MoviePass...","2018-06-22T04:24:42Z","SSNLF"
"127832124","$HMNY/MoviePass + $VZ/Verizon + $SSNLF/Samsung <U+2014> it¡¯s all coming together...on Galaxy S9 devices... <f0><U+009F><U+00A4><U+0094>

https://www.pymnts.com/mobile-applications/2018/verizon-samsung-partnership-mobile-advertising/

<f0><U+009F><U+008E><U+00AC><f0><U+009F><U+008E><U+00A5><f0><U+009F><U+008D><U+00BF><f0><U+009F><U+0093><U+0088><f0><U+009F><U+0092><U+00B0>","2018-06-22T04:18:05Z","SSNLF"
"127831546","<U+2022>$HMNY/MoviePass buys Moviefone [$VZ/Oath]

<U+2022>Verizon partners w. Samsung to place Oath apps/ads on Galaxy S9

<U+2022>$VZ &amp; $SSNLF split ad revenue","2018-06-22T04:03:34Z","SSNLF"
"128843805","$GILD Yescarta now in 61 hospital treatment centers. https://www.yescarta.com/centers","2018-06-30T12:12:11Z","GILD"
"128841402","$GILD so when is Gilead finally buying GLPG ?","2018-06-30T09:23:38Z","GILD"
"128835460","$GILD Gilead Sciences 
http://dividendvaluebuilder.com/gilead-sciences-gild-dividend-stock-analysis/  
#dividends #healthcare #biotechnology #investing #stocks #DVB #AAAMP","2018-06-30T03:31:01Z","GILD"
"128832373","$GALT Finish P1 Keytruda/Galectin combo therapy.  Report Data - Get SPA to begin P3 @GalectinTherapeutics $MRK $BMY $GILD","2018-06-30T02:20:25Z","GILD"
"128831096","Price Moves vs Expected Moves $CELG $GILD $ABBV $PFE $JNJ $VRX $RDNT $TEVA $CVS $SENS $MNK $TRXC http://tinyurl.com/y7zbwhgq","2018-06-30T01:56:06Z","GILD"
"128820156","$GILD bears have 2 reasons on 06-29 to pay more attention http://www.dividendbot.com?s=GILD","2018-06-29T23:00:05Z","GILD"
"128814743","$SPY parting gift for the weekend. A sea of green 4,6,12 months out historically $AMD $MU $NVDA $EEM $DIS $GILD $FB","2018-06-29T21:55:27Z","GILD"
"128808669","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T21:00:32Z","GILD"
"128806112","$GILD gilding pressure at the 72 handle. 76 print this July. In Sept 72.5s","2018-06-29T20:39:31Z","GILD"
"128804519","$CELG $GILD $MU $JD $BABA off to Asia... not trading for about a month... Letting Leaps do their thing","2018-06-29T20:27:06Z","GILD"
"128788407","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T19:00:31Z","GILD"
"128784067","Why Gemphire Therapeutics Stock Is Rising Today $EXEL $GILD $GEMP https://marketrealist.com/2018/06/why-gemphire-therapeutics-stock-is-rising-today","2018-06-29T18:34:17Z","GILD"
"128778578","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T18:00:30Z","GILD"
"128778259","$GILD Picked up some 75/72.5 Vertical put options exp on 17Aug :)","2018-06-29T17:59:20Z","GILD"
"128771881","$GILD Some great momentum and swing traders starting to show up on this board which is a very promising sign in terms of retail sentiment.","2018-06-29T17:22:49Z","GILD"
"128770874","$GILD bought more here.","2018-06-29T17:16:45Z","GILD"
"128768645","@ronamin86 feel like theyre going after beaten up stocks right now. i like $GILD $CELG $PG $BMY $JNJ","2018-06-29T17:02:59Z","GILD"
"128768210","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T17:00:29Z","GILD"
"128766108","Rival Novartis, Gilead CAR-T therapies win European panel recommendation https://finance.yahoo.com/news/rival-novartis-gilead-car-t-135152109.html?soc_src=social-sh&amp;soc_trk=tw $NVS $GILD","2018-06-29T16:48:21Z","GILD"
"128763589","$GILD giddy up you turd.","2018-06-29T16:33:14Z","GILD"
"128758441","$TSRO understand the options market and what¡¯s is going on here. They will take it higher, with or without buyout.. $GILD $RHHBY knocking <f0><U+009F><U+00A4><U+009D>","2018-06-29T16:03:11Z","GILD"
"128757980","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T16:00:33Z","GILD"
"128755241","$GILD close above 72 would be hella bullish","2018-06-29T15:46:38Z","GILD"
"128754286","$GILD Over 72 and we are about to get PAAIIIIIDDDDD","2018-06-29T15:41:45Z","GILD"
"128753626","$VRX $ENDP $GILD $PGNX $ACHN $MNK Wishing you all the best of fortune and success - Tris Nrik, Spud Lake Capital 2018","2018-06-29T15:38:18Z","GILD"
"128746701","$GILD Price moved lower this week, matching CrowdThnk&#39;s forecast based on Positioning: https://crowdthnk.com/stocks/GILD","2018-06-29T15:13:10Z","GILD"
"128743464","$GILD EXP:6/29/2018|MaxPain:70.0|HighPutOI:68.0(706)|HighCallOI:72.0(1295) http://www.opricot.com/ticker/gild/optiongraphs","2018-06-29T15:00:25Z","GILD"
"128742982","$CELG GILD earning will be down 30% &amp; BIIB growing earnings at 11% this year. CELG growing earnings at 15% but valued below $GILD and $BIIB","2018-06-29T14:58:23Z","GILD"
"128733707","$GILD Big bid. Someone know something $$$$ Get In $$$","2018-06-29T14:17:52Z","GILD"
"128731001","@jedikrazyk Before 4Q. I don&#39;t see them delaying much longer. My bet is on $JNJ $BMY $GILD. JNJ for combo therapy for their Forteo franchise","2018-06-29T14:07:30Z","GILD"
